code,name,r,g,b,hex
22,Alizarin,188,96,78,#BC604E
21,Alizarin Light,215,153,130,#D79982
930,Antique Blue Dark,69,92,113,#455C71
932,Antique Blue Light,162,181,198,#A2B5C6
931,Antique Blue Medium,106,133,158,#6A859E
3753,Antique Blue Ultra Very Light,219,226,233,#DBE2E9
3750,Antique Blue Very Dark,56,76,94,#384C5E
3752,Antique Blue Very Light,199,209,219,#C7D1DB
3726,Antique Mauve Dark,155,91,102,#9B5B66
3727,Antique Mauve Light,219,169,178,#DBA9B2
316,Antique Mauve Medium,183,115,127,#B7737F
315,Antique Mauve Medium Dark,129,73,82,#814952
3802,Antique Mauve Very Dark,113,65,73,#714149
778,Antique Mauve Very Light,223,179,187,#DFB3BB
3740,Antique Violet Dark,120,87,98,#785762
3042,Antique Violet Light,183,157,167,#B79DA7
3041,Antique Violet Medium,149,111,124,#956F7C
3743,Antique Violet Very Light,215,203,211,#D7CBD3
23,Apple Blossom,237,226,237,#EDE2ED
15,Apple Green,209,237,164,#D1EDA4
14,Apple Green Pale,208,251,178,#D0FBB2
3341,Apricot,252,171,152,#FCAB98
3824,Apricot Light,254,205,194,#FECDC2
3340,Apricot Medium,255,131,111,#FF836F
967,Apricot Very Light,255,222,213,#FFDED5
3814,Aquamarine,80,139,125,#508B7D
991,Aquamarine Dark,71,123,110,#477B6E
992,Aquamarine Light,111,174,159,#6FAE9F
993,Aquamarine Very Light,144,192,180,#90C0B4
535,Ash Gray Very Light,99,100,88,#636458
3853,Autumn Gold Dark,242,151,70,#F29746
3855,Autumn Gold Light,250,211,150,#FAD396
3854,Autumn Gold Medium,242,175,104,#F2AF68
19,Autumn Gold Medium Light,247,201,95,#F7C95F
469,Avocado Green,114,132,60,#72843C
935,Avocado Green Dark,66,77,33,#424D21
937,Avocado Green Medium,98,113,51,#627133
472,Avocado Green Ultra Light,216,228,152,#D8E498
936,Avocado Green Very Dark,76,88,38,#4C5826
934,Avocado Green Black,49,57,25,#313919
470,Avocado Green Light,148,171,79,#94AB4F
471,Avocado Green Very Light,174,191,121,#AEBF79
3755,Baby Blue,147,180,206,#92B4CE
322,Baby Blue Dark,90,143,184,#5A8FB8
3325,Baby Blue Light,184,210,230,#B8D2E6
334,Baby Blue Medium,115,159,193,#739FC1
3841,Baby Blue Pale,205,223,237,#CDDFED
